date,author_name,content
Tue Mar 31 11:13:40 +0000 2026,FinancialJuice,Trump urges countries to go to Hormuz straight and take it - Truth Social
Tue Mar 31 11:13:09 +0000 2026,FinancialJuice,🔴Trump to other countries affected by Hormuz: Get your own oil
Tue Mar 31 11:12:51 +0000 2026,FinancialJuice,Trump on Iran: Countries should buy oil from the US
Tue Mar 31 11:11:57 +0000 2026,FinancialJuice,"🔴Trump: All of those countries that can’t get jet fuel because of the Strait of Hormuz, like the United Kingdom."
Tue Mar 31 11:07:06 +0000 2026,FinancialJuice,Gcore: GPU virtual machines on NVIDIA AI infrastructure. $NVDA
Tue Mar 31 10:16:19 +0000 2026,FinancialJuice,Qatar foreign ministry spokesperson: Our understanding is that there is a unified stance in the Gulf on ending escalation
Tue Mar 31 10:03:01 +0000 2026,FinancialJuice,EU clears Netomnia and BRSK assets sale to Liberty Global and others
Tue Mar 31 09:53:56 +0000 2026,FinancialJuice,EU and Australia start talks on Horizon Program participation
Tue Mar 31 09:53:23 +0000 2026,FinancialJuice,EU probes French plan to back EDF nuclear reactors
Tue Mar 31 09:48:59 +0000 2026,FinancialJuice,EU Commission: Has concerns that the French support may consolidate or indirectly reinforce EDF's market power
Tue Mar 31 09:48:42 +0000 2026,FinancialJuice,EU Commission: Will investigate whether there are enough safeguards to ensure EDF's trading strategy will not cause market distortions
Tue Mar 31 09:48:25 +0000 2026,FinancialJuice,ECB's Muller: Can't rule out rate hike in April
Tue Mar 31 09:48:12 +0000 2026,FinancialJuice,ECB's Muller: Hike may be needed if energy prices stay high
Tue Mar 31 09:47:58 +0000 2026,FinancialJuice,ECB's Muller: Closely monitoring wages and labor market
Tue Mar 31 09:41:12 +0000 2026,FinancialJuice,Israel Defence Minister Katz: Israel will set up a buffer zone inside southern Lebanon and maintain control over the entire area up to the Litani River
Tue Mar 31 09:35:33 +0000 2026,FinancialJuice,Russia's Lavrov: Middle East crisis may spill over into a wider conflict
Tue Mar 31 09:35:17 +0000 2026,FinancialJuice,Russia's Lavrov: The US and Israel do not want normalisation between Iran and its neighbours.
Tue Mar 31 09:13:20 +0000 2026,FinancialJuice,PBOC: To maintain a moderately loose monetary policy with stronger counter-cyclical adjustments
Tue Mar 31 09:13:01 +0000 2026,FinancialJuice,PBOC to make use of various tools in monetary policy controls
Tue Mar 31 08:54:44 +0000 2026,FinancialJuice,Israel Military Spokesperson: We are prepared to keep operating for weeks to come.
Tue Mar 31 07:59:14 +0000 2026,FinancialJuice,"German Unemployment Change SA Actual 0k (Forecast 2k, Previous 1k)"
Tue Mar 31 07:59:08 +0000 2026,FinancialJuice,"German Unemployment Rate Actual 6.3% (Forecast 6.3%, Previous 6.3%)"
Tue Mar 31 07:12:07 +0000 2026,FinancialJuice,"Germany's Deutsche Energy Terminal: Injected a record amount of energy, over 25 terawatt-hours (twh), into the German gas network in Q1"
Tue Mar 31 07:01:09 +0000 2026,FinancialJuice,Bank of Korea official: Closely watching FX market situation
Tue Mar 31 07:00:55 +0000 2026,FinancialJuice,Bank of Korea sold a record amount of Dollars in Q4 2025 to curb losses in Won
Tue Mar 31 06:46:39 +0000 2026,FinancialJuice,"French HICP YoY Prelim Actual 1.9% (Forecast 1.9%, Previous 1.1%)"
Tue Mar 31 06:46:34 +0000 2026,FinancialJuice,"French PPI MoM Actual -0.2% (Forecast -, Previous 0.5%)"
Tue Mar 31 06:46:30 +0000 2026,FinancialJuice,"French CPI MoM NSA Prelim Actual 0.9% (Forecast 0.9%, Previous 0.6%)"
Tue Mar 31 06:46:25 +0000 2026,FinancialJuice,"French HICP MoM Prelim Actual 1.1% (Forecast 1%, Previous 0.7%)"
Tue Mar 31 06:46:20 +0000 2026,FinancialJuice,"French CPI YoY NSA Prelim Actual 1.7% (Forecast 1.6%, Previous 0.9%)"
Tue Mar 31 06:37:53 +0000 2026,FinancialJuice,Iran's Revolutionary Guards: We targeted a ship in the Gulf - Tasnim News Agency
Tue Mar 31 06:00:37 +0000 2026,FinancialJuice,"🔴UK GDP QoQ Actual 0.1% (Forecast 0.1%, Previous 0.1%)"
Tue Mar 31 06:00:29 +0000 2026,FinancialJuice,"🔴UK GDP YoY Actual 1% (Forecast 1%, Previous 1.0%)"
Tue Mar 31 05:24:32 +0000 2026,FinancialJuice,Iran's Oil Minister Paknejad: Discounts on Iranian oil have significantly decreased while the average selling price has significantly increased - Telegram account
Tue Mar 31 05:09:39 +0000 2026,FinancialJuice,"JAPANESE HOUSING STARTS YOY ACTUAL -4.9% (FORECAST -4.5%, PREVIOUS -0.4%) $MACRO"
